Name,Sector,Industry
Ally Financial Inc.,n/a,n/a
Ally Financial Inc.,n/a,n/a
Alon Blue Square Israel Ltd.,Consumer Services,Department/Specialty Retail Stores
"Alon USA Energy, Inc.",Energy,Integrated oil Companies
"Alon USA Partners, LP",Energy,Integrated oil Companies
Alpine Global Dynamic Dividend Fund,n/a,n/a
Alpine Global Premier Properties Fund,n/a,n/a
Alpine Total Dynamic Dividend Fund,n/a,n/a
Altisource Residential Corporation,Finance,Real Estate
Altria Group,Consumer Non-Durables,Farming/Seeds/Milling
Aluminum Corporation of China Limited,Basic Industries,Aluminum
"Amber Road, Inc.",Technology,Computer Software: Prepackaged Software
Ambev S.A.,Consumer Non-Durables,Beverages (Production/Distribution)
"AMC Entertainment Holdings, Inc.",Consumer Services,Movies/Entertainment
Amec Plc Ord,Consumer Services,Military/Government/Technical
Ameren Corporation,Public Utilities,Power Generation
"Ameresco, Inc.",Basic Industries,Engineering & Construction
"America Movil, S.A.B. de C.V.",Public Utilities,Telecommunications Equipment
"American Assets Trust, Inc.",Consumer Services,Real Estate Investment Trusts
"American Axle & Manufacturing Holdings, Inc.",Capital Goods,Auto Parts:O.E.M.
American Campus Communities Inc,Consumer Services,Real Estate Investment Trusts
"American Eagle Outfitters, Inc.",Consumer Services,Clothing/Shoe/Accessory Stores
"American Electric Power Company, Inc.",Public Utilities,Electric Utilities: Central
American Equity Investment Life Holding Company,Finance,Life Insurance
American Express Company,Finance,Finance: Consumer Services
"American Financial Group, Inc.",Finance,Property-Casualty Insurers
"American Financial Group, Inc.",Finance,Property-Casualty Insurers
"American Financial Group, Inc.",Finance,Property-Casualty Insurers
"American Financial Group, Inc.",Finance,Property-Casualty Insurers
"American Financial Group, Inc.",Finance,Property-Casualty Insurers
American Homes 4 Rent,Consumer Services,Real Estate Investment Trusts
American Homes 4 Rent,Consumer Services,Real Estate Investment Trusts
American Homes 4 Rent,n/a,n/a
American Homes 4 Rent,n/a,n/a
"American International Group, Inc.",Finance,Property-Casualty Insurers
"American International Group, Inc.",n/a,n/a
"American Midstream Partners, LP",Public Utilities,Natural Gas Distribution
"American Realty Investors, Inc.",Finance,Real Estate
"American Residential Properties, Inc.",Consumer Services,Real Estate Investment Trusts
American States Water Company,Public Utilities,Water Supply
American Tower Corporation (REIT),Consumer Services,Real Estate Investment Trusts
American Tower Corporation (REIT),n/a,n/a
American Tower Corporation (REIT),n/a,n/a
American Vanguard Corporation,Basic Industries,Agricultural Chemicals
American Water Works,Public Utilities,Water Supply
"AmeriGas Partners, L.P.",Consumer Services,Other Specialty Stores
"AMERIPRISE FINANCIAL SERVICES, INC.",Finance,Investment Managers
AmerisourceBergen Corporation (Holding Co),Health Care,Other Pharmaceuticals
Amira Nature Foods Ltd,Consumer Non-Durables,Packaged Foods
AMN Healthcare Services Inc,Technology,Professional Services
Ampco-Pittsburgh Corporation,Capital Goods,Fluid Controls
Amphenol Corporation,Capital Goods,Electrical Products
"Amplify Snack Brands, inc.",Consumer Non-Durables,Packaged Foods
AMREP Corporation,Consumer Services,Newspapers/Magazines
"AMTEK, Inc.",Consumer Durables,Metal Fabrications
"AmTrust Financial Services, Inc.",n/a,n/a
"AmTrust Financial Services, Inc.",n/a,n/a
"AmTrust Financial Services, Inc.",n/a,n/a
"AmTrust Financial Services, Inc.",n/a,n/a
"AmTrust Financial Services, Inc.",Finance,Property-Casualty Insurers
"AmTrust Financial Services, Inc.",Finance,Property-Casualty Insurers
Anadarko Petroleum Corporation,Energy,Oil & Gas Production
Anadarko Petroleum Corporation,Energy,Oil & Gas Production
AngloGold Ashanti Limited,Basic Industries,Precious Metals
Anheuser-Busch Inbev SA,Consumer Non-Durables,Beverages (Production/Distribution)
Anixter International Inc.,Consumer Non-Durables,Telecommunications Equipment
Annaly Capital Management Inc,Consumer Services,Real Estate Investment Trusts
Annaly Capital Management Inc,n/a,n/a
Annaly Capital Management Inc,n/a,n/a
Annaly Capital Management Inc,n/a,n/a
Antero Midstream Partners LP,Public Utilities,Natural Gas Distribution
Antero Resources Corporation,Energy,Oil & Gas Production
"Anthem, Inc.",Health Care,Medical Specialities
"Anthem, Inc.",Health Care,Medical Specialities
Anworth Mortgage Asset  Corporation,Consumer Services,Real Estate Investment Trusts
Anworth Mortgage Asset  Corporation,n/a,n/a
Anworth Mortgage Asset  Corporation,n/a,n/a
Anworth Mortgage Asset  Corporation,n/a,n/a
Aon plc,Finance,Specialty Insurers
Apache Corporation,Energy,Oil & Gas Production
Apartment Investment and Management Company,Consumer Services,Real Estate Investment Trusts
Apartment Investment and Management Company,n/a,n/a
Apartment Investment and Management Company,n/a,n/a
Apollo Commercial Real Estate Finance,Consumer Services,Real Estate Investment Trusts
Apollo Commercial Real Estate Finance,n/a,n/a
"Apollo Global Management, LLC",Finance,Investment Managers
Apollo Investment Corporation,n/a,n/a
Apollo Investment Corporation,n/a,n/a
"Apollo Residential Mortgage, Inc.",Consumer Services,Real Estate Investment Trusts
"Apollo Residential Mortgage, Inc.",n/a,n/a
Apollo Senior Floating Rate Fund Inc.,n/a,n/a
Apollo Tactical Income Fund Inc.,n/a,n/a
"Apple Hospitality REIT, Inc.",Consumer Services,Real Estate Investment Trusts
"Applied Industrial Technologies, Inc.",Consumer Durables,Industrial Specialties
"AptarGroup, Inc.",Consumer Non-Durables,Plastic Products
"Aqua America, Inc.",Public Utilities,Water Supply
Aramark,Consumer Services,Restaurants
Arbor Realty Trust,Consumer Services,Real Estate Investment Trusts
Arbor Realty Trust,n/a,n/a
Arbor Realty Trust,n/a,n/a
Arbor Realty Trust,n/a,n/a
Arbor Realty Trust,Consumer Services,Real Estate Investment Trusts
"ARC Document Solutions, Inc.",Consumer Services,Professional Services
Arc Logistic Partners LP,Energy,Oil Refining/Marketing
ArcelorMittal,Basic Industries,Steel/Iron Ore
Arch Capital Group Ltd.,n/a,n/a
"Arch Coal, Inc.",Energy,Coal Mining
Archer-Daniels-Midland Company,Consumer Non-Durables,Packaged Foods
"Archrock, Inc.",Technology,Diversified Commercial Services
Arcos Dorados Holdings Inc.,Consumer Services,Restaurants
Ardmore Shipping Corporation,Transportation,Marine Transportation
Ares Capital Corporation,n/a,n/a
Ares Capital Corporation,n/a,n/a
Ares Commercial Real Estate Corporation,Consumer Services,Real Estate Investment Trusts
"Ares Dynamic Credit Allocation Fund, Inc.",n/a,n/a
Ares Management L.P.,Finance,Investment Managers
"Argan, Inc.",Basic Industries,Engineering & Construction
"Arista Networks, Inc.",Technology,Computer Communications Equipment
Arlington Asset Investment Corp,Finance,Finance/Investors Services
Arlington Asset Investment Corp,Finance,Finance/Investors Services
Arlington Asset Investment Corp,Finance,Finance/Investors Services
"Armada Hoffler Properties, Inc.",Finance,Real Estate
"ARMOUR Residential REIT, Inc.",Consumer Services,Real Estate Investment Trusts
"ARMOUR Residential REIT, Inc.",n/a,n/a
"ARMOUR Residential REIT, Inc.",n/a,n/a
Armstrong World Industries Inc,Consumer Non-Durables,Plastic Products
"Arrow Electronics, Inc.",Consumer Non-Durables,Electronic Components
Arthur J. Gallagher & Co.,Finance,Specialty Insurers
Artisan Partners Asset Management Inc.,Finance,Investment Managers
ASA Gold and Precious Metals Limited,n/a,n/a
Asbury Automotive Group Inc,Consumer Durables,Automotive Aftermarket
"Ashford Hospitality Prime, Inc.",Consumer Services,Real Estate Investment Trusts
Ashford Hospitality Trust Inc,Consumer Services,Real Estate Investment Trusts
Ashford Hospitality Trust Inc,n/a,n/a
Ashford Hospitality Trust Inc,n/a,n/a
Ashford Hospitality Trust Inc,n/a,n/a
Ashland Inc.,Consumer Durables,Specialty Chemicals
"Asia Pacific Fund, Inc. (The)",n/a,n/a
