Name,Sector,Industry
Costamare Inc.,Transportation,Marine Transportation
Costamare Inc.,n/a,n/a
Costamare Inc.,n/a,n/a
Costamare Inc.,n/a,n/a
Cott Corporation,Consumer Non-Durables,Beverages (Production/Distribution)
Coty Inc.,Consumer Non-Durables,Package Goods/Cosmetics
"Country Style Cooking Restaurant Chain Co., Ltd.",Consumer Services,Restaurants
Countrywide Financial Corporation,n/a,n/a
Countrywide Financial Corporation,n/a,n/a
Cousins Properties Incorporated,Consumer Services,Real Estate Investment Trusts
Covanta Holding Corporation,Basic Industries,Electric Utilities: Central
CPB Inc.,Finance,Major Banks
CPFL Energia S.A.,Public Utilities,Electric Utilities: Central
Crane Company,Capital Goods,Metal Fabrications
Crawford & Company,n/a,n/a
Crawford & Company,n/a,n/a
Credicorp Ltd.,Finance,Commercial Banks
Credit Suisse Group,Finance,Investment Bankers/Brokers/Service
Crescent Point Energy Corporation,Energy,Oil & Gas Production
Crestwood Equity Partners LP,Consumer Services,Other Consumer Services
CRH PLC,Capital Goods,Building Materials
Cross Timbers Royalty Trust,Energy,Oil & Gas Production
CrossAmerica Partners LP,Energy,Oil Refining/Marketing
Crown Castle International Corporation,Consumer Services,Real Estate Investment Trusts
Crown Castle International Corporation,n/a,n/a
"Crown Holdings, Inc.",Consumer Durables,Containers/Packaging
"CryoLife, Inc.",Health Care,Medical/Dental Instruments
CSRA Inc.,Technology,EDP Services
"CSS Industries, Inc.",Consumer Services,Consumer: Greeting Cards
"CST Brands, Inc.",Consumer Durables,Automotive Aftermarket
CTS Corporation,Technology,Electrical Products
CubeSmart,Consumer Services,Real Estate Investment Trusts
CubeSmart,n/a,n/a
Cubic Corporation,Capital Goods,Industrial Machinery/Components
"Cullen/Frost Bankers, Inc.",Finance,Major Banks
"Cullen/Frost Bankers, Inc.",n/a,n/a
"Culp, Inc.",Basic Industries,Textiles
Cummins Inc.,Energy,Industrial Machinery/Components
Curtiss-Wright Corporation,Technology,Industrial Machinery/Components
Cushing Energy Income Fund (The),n/a,n/a
Cushing Renaissance Fund (The),n/a,n/a
"Customers Bancorp, Inc",Finance,Major Banks
"Customers Bancorp, Inc",n/a,n/a
"Customers Bancorp, Inc",Finance,Major Banks
Cutwater Select Income Fund,n/a,n/a
"CVENT, INC.",Technology,Computer Software: Prepackaged Software
CVR Energy Inc.,Energy,Integrated oil Companies
"CVR Partners, LP",Basic Industries,Agricultural Chemicals
"CVR Refining, LP",Energy,Integrated oil Companies
CVS Health Corporation,Health Care,Medical/Nursing Services
"Cypress Energy Partners, L.P.",Energy,Oilfield Services/Equipment
"CYS Investments, Inc.",Consumer Services,Real Estate Investment Trusts
"CYS Investments, Inc.",n/a,n/a
"CYS Investments, Inc.",n/a,n/a
"D.R. Horton, Inc.",Capital Goods,Homebuilding
Dana Holding Corporation,Capital Goods,Auto Parts:O.E.M.
Danaher Corporation,Capital Goods,Industrial Machinery/Components
Danaos Corporation,Transportation,Marine Transportation
DAQO New Energy Corp.,Technology,Semiconductors
"Darden Restaurants, Inc.",Consumer Services,Restaurants
Darling Ingredients Inc.,Consumer Non-Durables,Packaged Foods
DaVita healthCare Partners Inc.,Health Care,Hospital/Nursing Management
"DCP Midstream Partners, LP",Public Utilities,Natural Gas Distribution
DCT Industrial Trust Inc,Consumer Services,Real Estate Investment Trusts
DDR Corp.,Consumer Services,Real Estate Investment Trusts
DDR Corp.,n/a,n/a
DDR Corp.,n/a,n/a
Dean Foods Company,Consumer Non-Durables,Specialty Foods
Deckers Outdoor Corporation,Consumer Non-Durables,Shoe Manufacturing
Deere & Company,Capital Goods,Industrial Machinery/Components
Delaware Enhanced Global Dividend,n/a,n/a
"Delaware Investments Dividend & Income Fund, Inc.",n/a,n/a
"Delek Logistics Partners, L.P.",Energy,Natural Gas Distribution
"Delek US Holdings, Inc.",Energy,Integrated oil Companies
Delphi Automotive plc,Capital Goods,Auto Parts:O.E.M.
"Delta Air Lines, Inc.",Transportation,Air Freight/Delivery Services
Deltic Timber Corporation,Basic Industries,Forest Products
Deluxe Corporation,Consumer Durables,Publishing
Demand Media Inc.,Technology,EDP Services
"DEMANDWARE, INC.",Technology,EDP Services
Denbury Resources Inc.,Energy,Oil & Gas Production
Deutsch Bk Contingent Cap Tr V,Finance,Major Banks
Deutsche Bank AG,Finance,Major Banks
Deutsche Bank AG,Finance,Major Banks
Deutsche Bank AG,Finance,Major Banks
Devon Energy Corporation,Energy,Oil & Gas Production
DeVry Education Group Inc.,Consumer Services,Other Consumer Services
"DHI Group, Inc.",Miscellaneous,Business Services
"DHT Holdings, Inc.",Transportation,Marine Transportation
Diageo plc,Consumer Non-Durables,Beverages (Production/Distribution)
"Diamond Offshore Drilling, Inc.",Energy,Oil & Gas Production
"Diamond Resorts International, Inc.",Consumer Services,Hotels/Resorts
Diamondrock Hospitality Company,Consumer Services,Real Estate Investment Trusts
Diana Shipping inc.,Transportation,Marine Transportation
Diana Shipping inc.,n/a,n/a
Diana Shipping inc.,Transportation,Marine Transportation
Dick&#39;s Sporting Goods Inc,Consumer Services,Other Specialty Stores
"Diebold, Incorporated",Miscellaneous,Office Equipment/Supplies/Services
"Digital Realty Trust, Inc.",Consumer Services,Real Estate Investment Trusts
"Digital Realty Trust, Inc.",n/a,n/a
"Digital Realty Trust, Inc.",n/a,n/a
"Digital Realty Trust, Inc.",n/a,n/a
"Digital Realty Trust, Inc.",n/a,n/a
"Digital Realty Trust, Inc.",n/a,n/a
"DigitalGlobe, Inc",Consumer Services,Telecommunications Equipment
"Dillard&#39;s, Inc.",Consumer Services,Department/Specialty Retail Stores
"Dillard&#39;s, Inc.",Consumer Services,Department/Specialty Retail Stores
"DineEquity, Inc",Consumer Services,Restaurants
"Diplomat Pharmacy, Inc.",Health Care,Medical/Nursing Services
Discover Financial Services,Finance,Finance: Consumer Services
Discover Financial Services,n/a,n/a
Diversified Real Asset Income Fund,n/a,n/a
Dividend and Income Fund,n/a,n/a
Dolby Laboratories,Miscellaneous,Multi-Sector Companies
Dollar General Corporation,Consumer Services,Department/Specialty Retail Stores
Dominion Diamond Corporation,Basic Industries,Precious Metals
"Dominion Midstream Partners, LP",Public Utilities,Natural Gas Distribution
"Dominion Resources, Inc.",Public Utilities,Electric Utilities: Central
"Dominion Resources, Inc.",Public Utilities,Electric Utilities: Central
"Dominion Resources, Inc.",Public Utilities,Electric Utilities: Central
"Dominion Resources, Inc.",Public Utilities,Electric Utilities: Central
Domino&#39;s Pizza Inc,Consumer Non-Durables,Food Distributors
Domtar Corporation,Basic Industries,Paper
"Donaldson Company, Inc.",Capital Goods,Pollution Control Equipment
Dorian LPG Ltd.,Transportation,Marine Transportation
DoubleLine Income Solutions Fund,n/a,n/a
DoubleLine Opportunistic Credit Fund,n/a,n/a
"Douglas Dynamics, Inc.",Capital Goods,Construction/Ag Equipment/Trucks
"Douglas Emmett, Inc.",Consumer Services,Real Estate Investment Trusts
Dover Corporation,Technology,Industrial Machinery/Components
Dover Downs Gaming & Entertainment Inc,Consumer Services,Services-Misc. Amusement & Recreation
"Dover Motorsports, Inc.",Consumer Services,Services-Misc. Amusement & Recreation
Dow Chemical Company (The),Basic Industries,Major Chemicals
"Dr Pepper Snapple Group, Inc",Consumer Non-Durables,Beverages (Production/Distribution)
Dr. Reddy&#39;s Laboratories Ltd,Health Care,Major Pharmaceuticals
DRDGOLD Limited,Basic Industries,Precious Metals
Drew Industries Incorporated,Capital Goods,Auto Parts:O.E.M.
Dreyfus High Yield Strategies Fund,n/a,n/a
"Dreyfus Municipal Bond Infrastructure Fund, Inc.",n/a,n/a
"Dreyfus Strategic Municipal Bond Fund, Inc.",n/a,n/a
"Dreyfus Strategic Municipals, Inc.",n/a,n/a
"Dril-Quip, Inc.",Energy,Metal Fabrications
"DST Systems, Inc.",Technology,EDP Services
DSW Inc.,Consumer Services,Clothing/Shoe/Accessory Stores
DTE Energy Company,Public Utilities,Electric Utilities: Central
DTE Energy Company,Public Utilities,Electric Utilities: Central
DTE Energy Company,Public Utilities,Electric Utilities: Central
Ducommun Incorporated,Capital Goods,Military/Government/Technical
Duff & Phelps Global Utility Income Fund Inc.,n/a,n/a
Duff & Phelps Select Energy MLP Fund Inc.,n/a,n/a
"Duff & Phelps Utilities Income, Inc.",n/a,n/a
"Duff & Phelps Utilities Tax-Free Income, Inc.",n/a,n/a
"Duff & Phelps Utility & Corporate Bond Trust, Inc.",n/a,n/a
Duke Energy Corporation,Public Utilities,Power Generation
Duke Energy Corporation,Public Utilities,Power Generation
Duke Realty Corporation,Consumer Services,Real Estate Investment Trusts
Dun & Bradstreet Corporation (The),Finance,Finance: Consumer Services
"Dupont Fabros Technology, Inc.",Finance,Real Estate
"Dupont Fabros Technology, Inc.",n/a,n/a
"Dupont Fabros Technology, Inc.",n/a,n/a
"DWS High Income Opportunities Fund, Inc.",n/a,n/a
"Dycom Industries, Inc.",Basic Industries,Water Supply
Dynagas LNG Partners LP,Consumer Services,Marine Transportation
Dynagas LNG Partners LP,n/a,n/a
Dynegy Inc.,Public Utilities,Electric Utilities: Central
Dynegy Inc.,n/a,n/a
Dynegy Inc.,n/a,n/a
"Dynex Capital, Inc.",Consumer Services,Real Estate Investment Trusts
"Dynex Capital, Inc.",n/a,n/a
"Dynex Capital, Inc.",n/a,n/a
E.I. du Pont de Nemours and Company,Basic Industries,Major Chemicals
E.I. du Pont de Nemours and Company,Basic Industries,Major Chemicals
E.I. du Pont de Nemours and Company,Basic Industries,Major Chemicals
E.W. Scripps Company (The),Consumer Services,Broadcasting
Eagle Growth and Income Opportunities Fund,n/a,n/a
Eagle Materials Inc,Capital Goods,Building Materials
Eagle Point Credit Company Inc.,n/a,n/a
Eagle Point Credit Company Inc.,n/a,n/a
Eagle Point Credit Company Inc.,n/a,n/a
"Easterly Government Properties, Inc.",Consumer Services,Real Estate Investment Trusts
"EastGroup Properties, Inc.",Consumer Services,Real Estate Investment Trusts
Eastman Chemical Company,Basic Industries,Major Chemicals
Eastman Kodak Company,Miscellaneous,Industrial Machinery/Components
Eastman Kodak Company,n/a,n/a
Eastman Kodak Company,n/a,n/a
"Eaton Corporation, PLC",Technology,Industrial Machinery/Components
Eaton Vance Corporation,n/a,n/a
Eaton Vance Corporation,n/a,n/a
Eaton Vance Corporation,Finance,Investment Managers
Eaton Vance Enhance Equity Income Fund,n/a,n/a
Eaton Vance Enhanced Equity Income Fund II,n/a,n/a
Eaton Vance Floating Rate Income Trust,n/a,n/a
Eaton vance Floating-Rate Income Plus Fund,n/a,n/a
Eaton Vance Municipal Income 2028 Term Trust,n/a,n/a
Eaton Vance Municipal Income Trust,n/a,n/a
Eaton Vance Municipal Income Trust,n/a,n/a
Eaton Vance Risk-Managed Diversified Equity Income Fund,n/a,n/a
Eaton Vance Senior Floating-Rate Fund,n/a,n/a
Eaton Vance Senior Income Trust,n/a,n/a
Eaton Vance Short Diversified Income Fund,n/a,n/a
Eaton Vance Tax Advantaged Dividend Income Fund,n/a,n/a
Eaton Vance Tax-Advantage Global Dividend Opp,n/a,n/a
Eaton Vance Tax-Advantaged Bond,n/a,n/a
Eaton Vance Tax-Advantaged Global Dividend Income Fund,n/a,n/a
Eaton Vance Tax-Managed Buy-Write Income Fund,n/a,n/a
Eaton Vance Tax-Managed Diversified Equity Income Fund,n/a,n/a
Eaton Vance Tax-Managed Global Diversified Equity Income Fund,n/a,n/a
ECA Marcellus Trust I,Energy,Oil & Gas Production
Eclipse Resources Corporation,Energy,Oil & Gas Production
Ecolab Inc.,Basic Industries,Package Goods/Cosmetics
E-Commerce China Dangdang Inc.,Consumer Services,Other Specialty Stores
Ecopetrol S.A.,Energy,Oil & Gas Production
Edison International,Public Utilities,Electric Utilities: Central
Education Realty Trust Inc.,Consumer Services,Real Estate Investment Trusts
Edwards Lifesciences Corporation,Health Care,Industrial Specialties
eHi Car Services Limited,Consumer Services,Rental/Leasing Companies
E-House (China) Holdings Limited,Finance,Real Estate
El Paso Corporation,Public Utilities,Natural Gas Distribution
El Paso Electric Company,Public Utilities,Electric Utilities: Central
Eldorado Gold Corporation,Basic Industries,Precious Metals
Eli Lilly and Company,Health Care,Major Pharmaceuticals
"Ellie Mae, Inc.",Technology,Computer Software: Prepackaged Software
Ellington Financial LLC,Finance,Real Estate
Ellington Residential Mortgage REIT,Consumer Services,Real Estate Investment Trusts
Embotelladora Andina S.A.,n/a,n/a
Embotelladora Andina S.A.,n/a,n/a
Embraer-Empresa Brasileira de Aeronautica,Capital Goods,Aerospace
EMC Corporation,Technology,Electronic Components
"EMCOR Group, Inc.",Capital Goods,Engineering & Construction
Emerge Energy Services LP,Energy,Oilfield Services/Equipment
"Emergent Biosolutions, Inc.",Health Care,Major Pharmaceuticals
"Emergent Capital, Inc.",Finance,Life Insurance
Emerson Electric Company,Energy,Consumer Electronics/Appliances
Empire District Electric Company (The),Public Utilities,Electric Utilities: Central
"Empire State Realty Trust, Inc.",Consumer Services,Real Estate Investment Trusts
Employers Holdings Inc,Finance,Property-Casualty Insurers
Empresa Distribuidora Y Comercializadora Norte S.A. (Edenor),Public Utilities,Electric Utilities: Central
Empresa Nacional de Electricidad S.A.,Public Utilities,Electric Utilities: Central
Empresas Ica Soc Contrladora,Basic Industries,Military/Government/Technical
"Enable Midstream Partners, LP",Public Utilities,Natural Gas Distribution
Enbridge Energy Management LLC,Energy,Oil & Gas Production
"Enbridge Energy, L.P.",Energy,Natural Gas Distribution
Enbridge Inc,Energy,Natural Gas Distribution
Encana Corporation,Energy,Oil & Gas Production
Endeavour Silver Corporation,Basic Industries,Precious Metals
"EndoChoice Holdings, Inc.",Health Care,Medical/Dental Instruments
Endurance Specialty Holdings Ltd,Finance,Property-Casualty Insurers
Endurance Specialty Holdings Ltd,n/a,n/a
Endurance Specialty Holdings Ltd,n/a,n/a
Enduro Royalty Trust,Energy,Oil & Gas Production
Energen Corporation,Energy,Oil & Gas Production
"Energizer Holdings, Inc.",Miscellaneous,Industrial Machinery/Components
"Energizer Holdings, Inc.",Consumer Non-Durables,Package Goods/Cosmetics
"Energy Transfer Equity, L.P.",Public Utilities,Natural Gas Distribution
ENERGY TRANSFER PARTNERS,Public Utilities,Natural Gas Distribution
Enerplus Corporation,Energy,Oil & Gas Production
Enersis S A,Public Utilities,Electric Utilities: Central
Enersys,Consumer Non-Durables,Telecommunications Equipment
"Engility Holdings, Inc.",Consumer Services,Military/Government/Technical
ENI S.p.A.,Energy,Oil & Gas Production
"EnLink Midstream Partners, LP",Public Utilities,Natural Gas Distribution
"EnLink Midstream, LLC",Public Utilities,Natural Gas Distribution
"Ennis, Inc.",Consumer Services,Office Equipment/Supplies/Services
"Enova International, Inc.",Finance,Finance: Consumer Services
Enpro Industries,Basic Industries,Metal Fabrications
ENSCO plc,Energy,Oil & Gas Production
Entercom Communications Corporation,Consumer Services,Broadcasting
"Entergy Arkansas, Inc.",Public Utilities,Electric Utilities: Central
"Entergy Arkansas, Inc.",Public Utilities,Electric Utilities: Central
"Entergy Arkansas, Inc.",Public Utilities,Electric Utilities: Central
Entergy Corporation,Public Utilities,Electric Utilities: Central
"Entergy Louisiana, Inc.",Public Utilities,Electric Utilities: Central
"Entergy Louisiana, Inc.",Public Utilities,Electric Utilities: Central
"Entergy Louisiana, Inc.",Public Utilities,Electric Utilities: Central
"Entergy Louisiana, Inc.",Public Utilities,Electric Utilities: Central
"Entergy Mississippi, Inc.",Public Utilities,Electric Utilities: Central
"Entergy Mississippi, Inc.",Public Utilities,Electric Utilities: Central
"Entergy Mississippi, Inc.",Public Utilities,Electric Utilities: Central
"Entergy New Orleans, Inc.",Public Utilities,Power Generation
Entergy Texas Inc,Public Utilities,Electric Utilities: Central
Enterprise Products Partners L.P.,Public Utilities,Natural Gas Distribution
Entravision Communications Corporation,Consumer Services,Broadcasting
"Envestnet, Inc",Miscellaneous,Business Services
"Envision Healthcare Holdings, Inc.",Health Care,Hospital/Nursing Management
"Enviva Partners, LP",Basic Industries,Forest Products
"Enzo Biochem, Inc.",Health Care,Medical Specialities
"EOG Resources, Inc.",Energy,Oil & Gas Production
EP Energy Corporation,Energy,Oil & Gas Production
"EPAM Systems, Inc.",Technology,EDP Services
EPR Properties,Consumer Services,Real Estate Investment Trusts
EPR Properties,n/a,n/a
EPR Properties,n/a,n/a
EPR Properties,n/a,n/a
EQT Corporation,Energy,Oil & Gas Production
"EQT GP Holdings, LP",Public Utilities,Natural Gas Distribution
"EQT Midstream Partners, LP",Public Utilities,Natural Gas Distribution
"Equifax, Inc.",Finance,Finance: Consumer Services
Equity Commonwealth,Consumer Services,Real Estate Investment Trusts
Equity Commonwealth,n/a,n/a
Equity Commonwealth,n/a,n/a
Equity Commonwealth,Consumer Services,Real Estate Investment Trusts
"Equity Lifestyle Properties, Inc.",Consumer Services,Real Estate Investment Trusts
"Equity Lifestyle Properties, Inc.",n/a,n/a
"Equity One, Inc.",Consumer Services,Real Estate Investment Trusts
Equity Residential,Consumer Services,Real Estate Investment Trusts
"Equus Total Return, Inc.",n/a,n/a
"Era Group, Inc.",Transportation,Transportation Services
Eros International PLC,Consumer Services,Movies/Entertainment
ESCO Technologies Inc.,Consumer Durables,Telecommunications Equipment
Essent Group Ltd.,Finance,Property-Casualty Insurers
"Essex Property Trust, Inc.",Consumer Services,Real Estate Investment Trusts
"Essex Property Trust, Inc.",n/a,n/a
"Estee Lauder Companies, Inc. (The)",Consumer Non-Durables,Package Goods/Cosmetics
Esterline Technologies Corporation,Capital Goods,Industrial Machinery/Components
Etablissements Delhaize Freres et Cie &quot;Le Lion&quot; S.A.,Consumer Services,Food Chains
Ethan Allen Interiors Inc.,Consumer Durables,Home Furnishings
Euronav NV,Transportation,Marine Transportation
"European Equity Fund, Inc. (The)",n/a,n/a
EverBank Financial Corp.,Finance,Savings Institutions
EverBank Financial Corp.,n/a,n/a
Evercore Partners Inc,Finance,Investment Managers
"Everest Re Group, Ltd.",Finance,Property-Casualty Insurers
Everi Holdings Inc.,Finance,Finance: Consumer Services
Eversource Energy,Public Utilities,Electric Utilities: Central
"Evertec, Inc.",Technology,EDP Services
"Everyday Health, Inc.",Technology,EDP Services
Evogene Ltd.,Basic Industries,Agricultural Chemicals
"Evolent Health, Inc",Consumer Services,Other Consumer Services
"ExamWorks Group, Inc.",Health Care,Medical/Nursing Services
Exar Corporation,Technology,Semiconductors
EXCO Resources NL,Energy,Oil & Gas Production
Exelon Corporation,Public Utilities,Power Generation
Exelon Corporation,Public Utilities,Power Generation
"Express, Inc.",Consumer Services,Clothing/Shoe/Accessory Stores
"Extended Stay America, Inc.",Consumer Services,Hotels/Resorts
Exterran Corporation,Technology,Diversified Commercial Services
Extra Space Storage Inc,Consumer Services,Real Estate Investment Trusts
Exxon Mobil Corporation,Energy,Integrated oil Companies
F.N.B. Corporation,Finance,Major Banks
F.N.B. Corporation,n/a,n/a
Fabrinet,Public Utilities,Telecommunications Equipment
FactSet Research Systems Inc.,Technology,"Computer Software: Programming, Data Processing"
Fair Isaac Corporation,Miscellaneous,Business Services
Fairmount Santrol Holdings Inc.,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
Farmland Partners Inc.,Consumer Services,Real Estate Investment Trusts
"FBL Financial Group, Inc.",Finance,Life Insurance
"FCB Financial Holdings, Inc.",Finance,Major Banks
Federal Agricultural Mortgage Corporation,Finance,Finance Companies
Federal Agricultural Mortgage Corporation,n/a,n/a
Federal Agricultural Mortgage Corporation,n/a,n/a
Federal Agricultural Mortgage Corporation,n/a,n/a
Federal Agricultural Mortgage Corporation,n/a,n/a
Federal Realty Investment Trust,Consumer Services,Real Estate Investment Trusts
Federal Signal Corporation,Capital Goods,Auto Manufacturing
"Federated Investors, Inc.",Finance,Investment Managers
Federated Premier Intermediate Municipal Income Fund,n/a,n/a
Federated Premier Municipal Income Fund,n/a,n/a
FedEx Corporation,Transportation,Air Freight/Delivery Services
FelCor Lodging Trust Incorporated,Consumer Services,Real Estate Investment Trusts
FelCor Lodging Trust Incorporated,Consumer Services,Real Estate Investment Trusts
Ferrari N.V.,Capital Goods,Auto Manufacturing
"Ferrellgas Partners, L.P.",Consumer Services,Other Specialty Stores
Ferro Corporation,Basic Industries,Paints/Coatings
Fiat Chrysler Automobiles N.V.,Capital Goods,Auto Manufacturing
Fiat Chrysler Automobiles N.V.,Capital Goods,Auto Manufacturing
Fibria Celulose S.A.,Basic Industries,Paper
Fidelity and Guaranty Life,Finance,Life Insurance
"Fidelity National Financial, Inc.",Finance,Specialty Insurers
"Fidelity National Financial, Inc.",Finance,Specialty Insurers
"Fidelity National Information Services, Inc.",Miscellaneous,Business Services
Fiduciary/Claymore MLP Opportunity Fund,n/a,n/a
Fifth Street Finance Corp.,n/a,n/a
First Acceptance Corporation,Finance,Property-Casualty Insurers
First American Corporation (The),Finance,Specialty Insurers
First BanCorp.,Finance,Major Banks
First Commonwealth Financial Corporation,Finance,Major Banks
First Data Corporation,Miscellaneous,Business Services
First Horizon National Corporation,Finance,Major Banks
First Horizon National Corporation,n/a,n/a
"First Industrial Realty Trust, Inc.",Consumer Services,Real Estate Investment Trusts
First Majestic Silver Corp.,Basic Industries,Precious Metals
First Marblehead Corporation (The),Finance,Finance: Consumer Services
First Niagara Financial Group Inc.,n/a,n/a
First Potomac Realty Trust,Consumer Services,Real Estate Investment Trusts
First Potomac Realty Trust,n/a,n/a
FIRST REPUBLIC BANK,n/a,n/a
FIRST REPUBLIC BANK,n/a,n/a
FIRST REPUBLIC BANK,n/a,n/a
FIRST REPUBLIC BANK,n/a,n/a
FIRST REPUBLIC BANK,n/a,n/a
FIRST REPUBLIC BANK,n/a,n/a
FIRST REPUBLIC BANK,n/a,n/a
First Trust,n/a,n/a
First Trust,n/a,n/a
First Trust Dividend and Income Fund,n/a,n/a
First Trust Dynamic Europe Equity Income Fund,n/a,n/a
First Trust Energy Infrastructure Fund,n/a,n/a
First Trust High Income Long Short Fund,n/a,n/a
First Trust Intermediate Duration Preferred & Income Fund,n/a,n/a
First Trust MLP and Energy Income Fund,n/a,n/a
First Trust New Opportunities MLP & Energy Fund,n/a,n/a
First Trust Senior Floating Rate Income Fund II,n/a,n/a
First Trust Specialty Finance and Financial Opportunities Fund,n/a,n/a
First Trust Strategic High Income Fund II,n/a,n/a
First Trust/Aberdeen Emerging Opportunity Fund,n/a,n/a
First Trust/Aberdeen Global Opportunity Income Fund,n/a,n/a
FirstEnergy Corporation,Public Utilities,Electric Utilities: Central
FirstMerit Corporation,n/a,n/a
"Fitbit, Inc.",Technology,Computer Manufacturing
Five Oaks Investment Corp.,Consumer Services,Real Estate Investment Trusts
Five Oaks Investment Corp.,n/a,n/a
"Five Star Quality Care, Inc.",Health Care,Hospital/Nursing Management
"Flagstar Bancorp, Inc.",Finance,Savings Institutions
Flaherty & Crumrine Dynamic Preferred and Income Fund Inc.,n/a,n/a
Flaherty & Crumrine Preferred Income Fund Incorporated,n/a,n/a
Flaherty & Crumrine Preferred Income Opportunity Fund Inc,n/a,n/a
Flaherty & Crumrine Preferred Securities Income Fund Inc,n/a,n/a
Flaherty & Crumrine Total Return Fund Inc,n/a,n/a
"FleetCor Technologies, Inc.",Miscellaneous,Business Services
Fleetmatics Group PLC,Technology,Computer Software: Prepackaged Software
"Flotek Industries, Inc.",Basic Industries,Major Chemicals
"Flowers Foods, Inc.",Consumer Non-Durables,Packaged Foods
Flowserve Corporation,Capital Goods,Fluid Controls
Fluor Corporation,Basic Industries,Military/Government/Technical
Fly Leasing Limited,n/a,n/a
FMC Corporation,Basic Industries,Major Chemicals
"FMC Technologies, Inc.",Energy,Metal Fabrications
Fomento Economico Mexicano S.A.B. de C.V.,Consumer Non-Durables,Beverages (Production/Distribution)
"Foot Locker, Inc.",Consumer Services,Clothing/Shoe/Accessory Stores
Ford Motor Company,Capital Goods,Auto Manufacturing
Foresight Energy LP,Energy,Coal Mining
"Forest City Realty Trust, Inc.",n/a,n/a
"Forest City Realty Trust, Inc.",n/a,n/a
Forestar Group Inc,Finance,Real Estate
"Fort Dearborn Income Securities, Inc.",n/a,n/a
Fortress Investment Group LLC,Finance,Investment Managers
Fortress Transportation and Infrastructure Investors LLC,n/a,n/a
Fortuna Silver Mines Inc.,Basic Industries,Precious Metals
"Fortune Brands Home & Security, Inc.",Basic Industries,Homebuilding
"Forum Energy Technologies, Inc.",Energy,Metal Fabrications
"Four Corners Property Trust, Inc.",Consumer Services,Real Estate Investment Trusts
Franco-Nevada Corporation,Basic Industries,Precious Metals
Franklin Covey Company,Consumer Services,Other Consumer Services
"Franklin Financial Network, Inc.",Finance,Major Banks
"Franklin Resources, Inc.",Finance,Investment Managers
Franklin Universal Trust,n/a,n/a
Frank&#39;s International N.V.,Energy,Oilfield Services/Equipment
"Freeport-McMoran, Inc.",Basic Industries,Precious Metals
Fresenius Medical Care Corporation,Health Care,Hospital/Nursing Management
"Fresh Del Monte Produce, Inc.",Consumer Non-Durables,Farming/Seeds/Milling
Frontline Ltd.,Transportation,Marine Transportation
FS Investment Corporation,n/a,n/a
"FTI Consulting, Inc.",Consumer Services,Professional Services
Furmanite Corporation,Basic Industries,Engineering & Construction
FutureFuel Corp.,Basic Industries,Major Chemicals
FXCM Inc.,Finance,Investment Bankers/Brokers/Service
"Gabelli Convertible and Income Securities Fund, Inc. (The)",n/a,n/a
"Gabelli Convertible and Income Securities Fund, Inc. (The)",n/a,n/a
Gabelli Dividend,n/a,n/a
Gabelli Dividend,n/a,n/a
Gabelli Dividend,n/a,n/a
"Gabelli Equity Trust, Inc. (The)",n/a,n/a
"Gabelli Equity Trust, Inc. (The)",n/a,n/a
"Gabelli Equity Trust, Inc. (The)",n/a,n/a
"Gabelli Equity Trust, Inc. (The)",n/a,n/a
Gabelli Global Small and Mid Cap Value Trust (The),n/a,n/a
Gabelli Multi-Media Trust Inc. (The),n/a,n/a
Gabelli Multi-Media Trust Inc. (The),n/a,n/a
Gabelli Utility Trust (The),n/a,n/a
Gabelli Utility Trust (The),n/a,n/a
Gafisa SA,Basic Industries,Homebuilding
"GAIN Capital Holdings, Inc.",Finance,Investment Bankers/Brokers/Service
"Gamco Investors, Inc.",Finance,Investment Bankers/Brokers/Service
"GAMCO Natural Resources, Gold & Income Tust ",n/a,n/a
Gamestop Corporation,Consumer Services,Electronics Distribution
"Gap, Inc. (The)",Consumer Services,Clothing/Shoe/Accessory Stores
"Gartner, Inc.",Consumer Services,Other Consumer Services
GasLog LP.,Consumer Services,Marine Transportation
GasLog LP.,n/a,n/a
GasLog Partners LP,Consumer Services,Marine Transportation
GATX Corporation,Consumer Services,Transportation Services
Gazit-Globe Ltd.,Finance,Real Estate
Genco Shipping & Trading Limited Warrants Expiring 12/31/2021 ,Transportation,Marine Transportation
"Gener8 Maritime, Inc.",Transportation,Marine Transportation
Generac Holdlings Inc.,Consumer Durables,Metal Fabrications
"General American Investors, Inc.",n/a,n/a
"General American Investors, Inc.",n/a,n/a
General Cable Corporation,Basic Industries,Telecommunications Equipment
General Dynamics Corporation,Capital Goods,Marine Transportation
General Electric Capital Corporation,Finance,Finance: Consumer Services
General Electric Capital Corporation,Finance,Finance: Consumer Services
General Electric Company,Energy,Consumer Electronics/Appliances
General Electric Company,Finance,Finance: Consumer Services
"General Growth Properties, Inc.",Consumer Services,Real Estate Investment Trusts
"General Growth Properties, Inc.",Consumer Services,Real Estate Investment Trusts
"General Mills, Inc.",Consumer Non-Durables,Packaged Foods
General Motors Company,Capital Goods,Auto Manufacturing
General Motors Company,n/a,n/a
General Motors Company,n/a,n/a
"General Steel Holdings, Inc.",Capital Goods,Steel/Iron Ore
Genesco Inc.,Consumer Services,Clothing/Shoe/Accessory Stores
"Genesee & Wyoming, Inc.",Transportation,Railroads
"Genesis Energy, L.P.",Energy,Oil Refining/Marketing
